"","Variable","With","Without","P.Value","Cliff.Delta","Eff.Size","Adj.P.Value"
"1","Commits",2414,813,3.00208652808919e-212,0.413083962292109,"medium",2.10146056966244e-211
"2","Contributors",121,46,3.70875556187144e-282,0.476867777772757,"large",2.59612889331001e-281
"3","Forks",1022,930,9.78043031181784e-11,0.0859610474995117,"negligible",6.84630121827249e-10
"4","Issues",899,372.5,3.43915076498209e-197,0.397986754321598,"medium",2.40740553548746e-196
"5","Pull.Requests",798,175,0,0.547196142218768,"large",0
"6","Stars",6070,4578,6.43313208350328e-41,0.177964129887206,"small",4.5031924584523e-40
"7","Watchers",150,183,1.34103691932707e-19,-0.120325752678695,"negligible",9.38725843528946e-19
